weight,env_temp,sensor_temp_mean,mean,max,min,std
750,0,8.201296296296297,4698.136008918617,6068,3756,207.68465989673734
750,25,25.084294954721862,5529.9672131147545,6720,4384,217.2302825260133
750,50,40.46981809478219,8196.169519152405,9916,6560,221.16407731674647
750,80,65.72122741433022,10838.923076923076,12164,9888,212.66811967376623
1254,0,8.181426692965154,5643.659397715473,6844,4476,214.01250990320233
1254,25,25.093170086035737,6005.261744966443,8096,5276,201.3194528444765
1254,50,40.44212121212121,9621.80132450331,10652,7896,197.70070205253367
1254,80,65.4314533762058,12521.751375137514,12960,10476,189.02376673396955
1754,0,8.092219419924339,6141.33764832794,7188,3580,223.6239072754727
1754,25,25.052624254473162,6178.5084745762715,7168,4784,193.48507347336943
1754,50,40.40776384957541,11083.68384879725,12792,9404,224.683295351321
1754,80,65.13620376378975,12891.523178807947,12964,11360,87.30319408096376
